Account,date,sentiment_binary,classification,value,total_pnl,num_trades,num_winning,num_losing,avg_trade_size,total_volume,avg_execution_price,num_buys,num_sells,total_fees,max_pnl,min_pnl,win_rate,long_short_ratio,net_pnl,is_profitable,pnl_range
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,Neutral,Neutral,47.0,-12346.990829,124,0,124,612.1092741935485,75901.55,0.13790112903225807,0,124,26.565471000000002,-1.129744,-2116.6544,0.0,0.0,-12373.5563,0,2115.524656
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,Neutral,Neutral,46.0,355.5854,159,127,0,2687.4032704402516,427297.12,2590.9266105660377,31,128,149.553903,6.7,0.0,0.7987421383647799,0.24218749999981082,206.031497,1,6.7
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,Neutral,Neutral,49.0,1129.8489260000001,160,52,0,1641.2224999999999,262595.6,21.82584375,108,52,34.19572673,78.259171,0.0,0.325,2.076923076919083,1095.6531992700002,1,78.259171
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,Fear,Fear,25.0,-6820.76955,1,0,1,82910.81,82910.81,20.222,0,1,29.018782,-6820.76955,-6820.76955,0.0,0.0,-6849.788332,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,Fear,Extreme Fear,16.0,0.0,52,0,0,1462.824423076923,76066.87,19.67671153846154,52,0,1.35322108,0.0,0.0,0.0,520000000000.0,-1.35322108,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,Fear,Fear,33.0,2480.902379,110,50,0,1999.099181818182,219900.91,19.572636363636366,60,50,53.50649472,830.043701,0.0,0.45454545454545453,1.1999999999975999,2427.3958842800002,1,830.043701
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,Fear,Extreme Fear,15.0,-3169.3554679999997,65,0,10,1756.5103076923076,114173.17,16.268692307692305,55,10,20.67737314,0.0,-3003.330755,0.0,5.499999999945,-3190.0328411399996,0,3003.330755
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,Fear,Fear,34.0,0.0,37,0,0,1499.4978378378378,55481.42,15.374135135135134,37,0,1.26292469,0.0,0.0,0.0,370000000000.0,-1.26292469,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,Fear,Fear,28.0,2099.019688,47,47,0,1225.1170212765958,57580.5,15.963106382978722,0,47,20.153151,228.178193,0.412871,1.0,0.0,2078.866537,1,227.765322
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,Fear,Fear,27.0,656.540742,65,57,0,2676.518153846154,173973.68,15.122876923076923,8,57,22.11483517,37.307867,0.0,0.8769230769230769,0.14035087719273623,634.42590683,1,37.307867
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,Fear,Extreme Fear,20.0,-1065.797583,53,51,1,3326.2756603773582,176292.61,15.026735849056605,1,52,41.25995296,145.449144,-2471.131609,0.9622641509433962,0.019230769230732248,-1107.05753596,0,2616.580753
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,Fear,Fear,34.0,1591.753271,53,52,0,2184.328113207547,115769.39,13.870905660377359,1,52,20.961068,165.8146,0.0,0.9811320754716981,0.019230769230732248,1570.792203,1,165.8146
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,Neutral,Neutral,45.0,-2315.377191,27,0,10,4259.311481481482,115001.41,12.514592592592592,17,10,20.268314959999998,0.0,-1235.322729,0.0,1.699999999983,-2335.6455059600003,0,1235.322729
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,Fear,Fear,44.0,0.0,42,0,0,1460.115,61324.83,13.897761904761905,42,0,1.54451693,0.0,0.0,0.0,420000000000.0,-1.54451693,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,Fear,Fear,26.0,-5018.466447,97,0,97,580.479381443299,56306.5,12.764144329896908,0,97,19.707219000000002,-1.020442,-402.621611,0.0,0.0,-5038.173666,0,401.60116899999997
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,Fear,Fear,34.0,716.143949,155,83,0,730.8744516129032,113285.54,12.42447741935484,72,83,20.92763202,70.092115,0.0,0.535483870967742,0.8674698795170271,695.21631698,1,70.092115
